Time    Loss    Elapsed     Type    Success
[11/08/2022, 10:00:26]	 (0.1,)	 16	 center	 True
[11/08/2022, 10:01:21]	 (0.1,)	 22	 center	 True
[11/08/2022, 10:02:12]	 (0.1,)	 18	 center	 True
[11/08/2022, 10:03:01]	 (0.1,)	 17	 center	 True
[11/08/2022, 10:04:09]	 (0.1,)	 36	 center	 True
[11/08/2022, 10:05:01]	 (0.1,)	 19	 center	 True
[11/08/2022, 10:05:50]	 (0.1,)	 16	 center	 True
[11/08/2022, 10:06:40]	 (0.1,)	 17	 center	 True
[11/08/2022, 10:07:58]	 (0.1,)	 46	 center	 True
[11/08/2022, 10:08:50]	 (0.1,)	 19	 center	 True
[11/08/2022, 10:09:48]	 (0.5,)	 17	 center	 True
[11/08/2022, 10:10:37]	 (0.5,)	 16	 center	 True
[11/08/2022, 10:11:25]	 (0.5,)	 15	 center	 True
[11/08/2022, 10:12:20]	 (0.5,)	 22	 center	 True
[11/08/2022, 10:13:10]	 (0.5,)	 17	 center	 True
[11/08/2022, 10:14:02]	 (0.5,)	 19	 center	 True
[11/08/2022, 10:14:52]	 (0.5,)	 18	 center	 True
[11/08/2022, 10:15:50]	 (0.5,)	 25	 center	 True
[11/08/2022, 10:16:40]	 (0.5,)	 17	 center	 True
[11/08/2022, 10:17:29]	 (0.5,)	 16	 center	 True
[11/08/2022, 10:18:44]	 (0.75,)	 34	 center	 True
[11/08/2022, 10:19:36]	 (0.75,)	 19	 center	 True
[11/08/2022, 10:20:32]	 (0.75,)	 23	 center	 True
[11/08/2022, 10:21:27]	 (0.75,)	 22	 center	 True
[11/08/2022, 10:22:21]	 (0.75,)	 21	 center	 True
[11/08/2022, 10:23:15]	 (0.75,)	 21	 center	 True
[11/08/2022, 10:24:05]	 (0.75,)	 17	 center	 True
[11/08/2022, 10:24:55]	 (0.75,)	 17	 center	 True
[11/08/2022, 10:25:48]	 (0.75,)	 21	 center	 True
[11/08/2022, 10:26:43]	 (0.75,)	 22	 center	 True
[11/08/2022, 10:27:41]	 (0.8,)	 18	 center	 True
[11/08/2022, 10:28:33]	 (0.8,)	 18	 center	 True
[11/08/2022, 10:29:35]	 (0.8,)	 30	 center	 True
[11/08/2022, 10:30:25]	 (0.8,)	 17	 center	 True
[11/08/2022, 10:31:15]	 (0.8,)	 17	 center	 True
[11/08/2022, 10:32:17]	 (0.8,)	 29	 center	 True
[11/08/2022, 10:33:20]	 (0.8,)	 30	 center	 True
[11/08/2022, 10:34:11]	 (0.8,)	 19	 center	 True
[11/08/2022, 10:35:45]	 (0.8,)	 61	 center	 False
[11/08/2022, 10:36:41]	 (0.8,)	 24	 center	 True
[11/08/2022, 10:37:43]	 (0.85,)	 22	 center	 True
[11/08/2022, 10:39:17]	 (0.85,)	 61	 center	 False
[11/08/2022, 10:40:07]	 (0.85,)	 18	 center	 True
[11/08/2022, 10:41:05]	 (0.85,)	 25	 center	 True
[11/08/2022, 10:41:56]	 (0.85,)	 18	 center	 True
[11/08/2022, 10:42:45]	 (0.85,)	 17	 center	 True
[11/08/2022, 10:43:41]	 (0.85,)	 24	 center	 True
[11/08/2022, 10:44:44]	 (0.85,)	 30	 center	 True
[11/08/2022, 10:45:35]	 (0.85,)	 18	 center	 True
[11/08/2022, 10:46:34]	 (0.85,)	 26	 center	 True
[11/08/2022, 10:47:30]	 (0.9,)	 16	 center	 True
[11/08/2022, 10:48:35]	 (0.9,)	 32	 center	 True
[11/08/2022, 10:49:25]	 (0.9,)	 17	 center	 True
[11/08/2022, 10:50:59]	 (0.9,)	 61	 center	 False
[11/08/2022, 10:51:49]	 (0.9,)	 18	 center	 True
[11/08/2022, 10:53:01]	 (0.9,)	 39	 center	 True
[11/08/2022, 10:54:35]	 (0.9,)	 61	 center	 False
[11/08/2022, 10:55:30]	 (0.9,)	 23	 center	 True
[11/08/2022, 10:56:28]	 (0.9,)	 25	 center	 True
[11/08/2022, 10:57:23]	 (0.9,)	 22	 center	 True
[11/08/2022, 10:59:04]	 (0.95,)	 61	 center	 False
[11/08/2022, 11:00:37]	 (0.95,)	 61	 center	 False
[11/08/2022, 11:02:10]	 (0.95,)	 61	 center	 False
[11/08/2022, 11:03:44]	 (0.95,)	 61	 center	 False
[11/08/2022, 11:05:17]	 (0.95,)	 61	 center	 False
[11/08/2022, 11:06:16]	 (0.95,)	 27	 center	 True
[11/08/2022, 11:07:50]	 (0.95,)	 61	 center	 False
[11/08/2022, 11:09:24]	 (0.95,)	 61	 center	 False
[11/08/2022, 11:10:33]	 (0.95,)	 37	 center	 True
[11/08/2022, 11:12:06]	 (0.95,)	 61	 center	 False
[11/08/2022, 11:13:47]	 0.99	 61	 center	 False
[11/08/2022, 11:15:21]	 0.99	 61	 center	 False
[11/08/2022, 11:16:54]	 0.99	 61	 center	 False
[11/08/2022, 11:18:28]	 0.99	 61	 center	 False
[11/08/2022, 11:20:01]	 0.99	 61	 center	 False
[11/08/2022, 11:21:34]	 0.99	 61	 center	 False
[11/08/2022, 11:23:08]	 0.99	 61	 center	 False
[11/08/2022, 11:24:41]	 0.99	 61	 center	 False
[11/08/2022, 11:26:15]	 0.99	 61	 center	 False
[11/08/2022, 11:27:48]	 0.99	 61	 center	 False
[11/08/2022, 16:57:38]	 (0.1,)	 37	 !center	 True
[11/08/2022, 16:58:51]	 (0.1,)	 40	 !center	 True
[11/08/2022, 16:59:47]	 (0.1,)	 23	 !center	 True
[11/08/2022, 17:00:59]	 (0.1,)	 40	 !center	 True
[11/08/2022, 17:02:53]	 (0.1,)	 81	 !center	 False
[11/08/2022, 17:04:32]	 (0.1,)	 67	 !center	 True
[11/08/2022, 17:05:46]	 (0.1,)	 41	 !center	 True
[11/08/2022, 17:06:47]	 (0.1,)	 29	 !center	 True
[11/08/2022, 17:07:54]	 (0.1,)	 35	 !center	 True
[11/08/2022, 17:08:54]	 (0.1,)	 28	 !center	 True
[11/08/2022, 17:10:04]	 (0.5,)	 30	 !center	 True
[11/08/2022, 17:11:05]	 (0.5,)	 28	 !center	 True
[11/08/2022, 17:12:03]	 (0.5,)	 25	 !center	 True
[11/08/2022, 17:13:01]	 (0.5,)	 25	 !center	 True
[11/08/2022, 17:14:00]	 (0.5,)	 26	 !center	 True
[11/08/2022, 17:15:08]	 (0.5,)	 35	 !center	 True
[11/08/2022, 17:16:04]	 (0.5,)	 24	 !center	 True
[11/08/2022, 17:17:12]	 (0.5,)	 35	 !center	 True
[11/08/2022, 17:18:30]	 (0.5,)	 45	 !center	 True
[11/08/2022, 17:19:56]	 (0.5,)	 54	 !center	 True
[11/08/2022, 17:21:09]	 (0.75,)	 32	 !center	 True
[11/08/2022, 17:22:15]	 (0.75,)	 34	 !center	 True
[11/08/2022, 17:23:21]	 (0.75,)	 33	 !center	 True
[11/08/2022, 17:24:24]	 (0.75,)	 29	 !center	 True
[11/08/2022, 17:26:18]	 (0.75,)	 81	 !center	 False
[11/08/2022, 17:27:31]	 (0.75,)	 41	 !center	 True
[11/08/2022, 17:28:34]	 (0.75,)	 30	 !center	 True
[11/08/2022, 17:29:38]	 (0.75,)	 31	 !center	 True
[11/08/2022, 17:30:37]	 (0.75,)	 26	 !center	 True
[11/08/2022, 17:31:34]	 (0.75,)	 23	 !center	 True
[11/08/2022, 17:32:42]	 (0.8,)	 27	 !center	 True
[11/08/2022, 17:33:41]	 (0.8,)	 27	 !center	 True
[11/08/2022, 17:34:43]	 (0.8,)	 29	 !center	 True
[11/08/2022, 17:35:43]	 (0.8,)	 27	 !center	 True
[11/08/2022, 17:36:44]	 (0.8,)	 28	 !center	 True
[11/08/2022, 17:38:37]	 (0.8,)	 81	 !center	 False
[11/08/2022, 17:39:33]	 (0.8,)	 24	 !center	 True
[11/08/2022, 17:40:32]	 (0.8,)	 26	 !center	 True
[11/08/2022, 17:41:35]	 (0.8,)	 30	 !center	 True
[11/08/2022, 17:42:41]	 (0.8,)	 33	 !center	 True
[11/08/2022, 17:44:43]	 (0.85,)	 81	 !center	 False
[11/08/2022, 17:45:45]	 (0.85,)	 29	 !center	 True
[11/08/2022, 17:46:45]	 (0.85,)	 27	 !center	 True
